"","Run","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","Bytes","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","genome_build","GEO_Accession..exp.","Instrument","library_strategy","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","Sample.Name","source_name","SRA.Study","sex","Biomaterial_provider"
"541","SRR8371183","OTHER",261,273940312,"PRJNA511892","SAMN10645345",139875479,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181300","mm10","GSM3531132","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531132","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"543","SRR8371185","OTHER",295,1100767988,"PRJNA511892","SAMN10645343",568829185,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181302","mm10","GSM3531134","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531134","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"544","SRR8371186","OTHER",282,201910865,"PRJNA511892","SAMN10645342",104437915,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181303","mm10","GSM3531135","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531135","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"545","SRR8371187","OTHER",286,144812071,"PRJNA511892","SAMN10645341",75147535,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180754","mm10","GSM3531136","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531136","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"546","SRR8371188","OTHER",266,275656241,"PRJNA511892","SAMN10645340",143027637,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180755","mm10","GSM3531137","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531137","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"547","SRR8371189","OTHER",293,1281677488,"PRJNA511892","SAMN10645339",659975012,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180756","mm10","GSM3531138","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531138","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"548","SRR8371190","OTHER",287,306028968,"PRJNA511892","SAMN10645338",158043668,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180757","mm10","GSM3531139","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531139","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"549","SRR8371191","OTHER",255,103364540,"PRJNA511892","SAMN10645337",53385734,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180758","mm10","GSM3531140","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531140","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"550","SRR8371192","OTHER",234,232330330,"PRJNA511892","SAMN10645336",120097198,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180759","mm10","GSM3531141","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531141","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"551","SRR8371193","OTHER",292,375772804,"PRJNA511892","SAMN10645335",192977930,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5180760","mm10","GSM3531142","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531142","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
